Query,Expected Article URL,Match Found,Rank (if found),Top URLs,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10,MRR
how do I set a deadline for my survey,https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/,False,,https://help.surveymonkey.com/en/apply/build/applicant-task-deadline/; https://help.surveymonkey.com/en/apply/build/stage-deadline/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/apply/build/time-based-automation/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
how do I resend a survey to the same people,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/,False,,https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/create/symptom-tracking-survey/; https://help.surveymonkey.com/en/surveymonkey/create/question-types/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop collecting responses after 100 people,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,False,,https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/policy/data-collection-privacy/; https://help.surveymonkey.com/en/surveymonkey/create/symptom-tracking-survey/; https://help.surveymonkey.com/en/surveymonkey/solutions/calculating-respondents/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/analyzing-text-responses/; https://help.surveymonkey.com/en/surveymonkey/create/csat-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/question-types/; https://help.surveymonkey.com/en/surveymonkey/integrations/google-add-ons/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
can I edit my survey after publishing,https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,True,2.0,https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
what happens when I upgrade my plan,https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/,True,2.0,https://help.surveymonkey.com/en/wufoo/account/upgrade-your-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/; https://help.surveymonkey.com/en/getfeedback/account/changing-your-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/; https://help.surveymonkey.com/en/surveymonkey/billing/surveymonkey-plans/; https://help.surveymonkey.com/en/wufoo/account/wufoo-plans/; https://help.surveymonkey.com/en/surveymonkey/account/trying-paid-features/; https://help.surveymonkey.com/en/wufoo/account/your-new-plan/; https://help.surveymonkey.com/en/surveymonkey/create/bulk-answer-choices/; https://help.surveymonkey.com/en/apply/build/move-to-trash/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
what’s the difference between skip logic and branching,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,7.0,https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/advanced-branching/; https://help.surveymonkey.com/en/apply/build/branching-logic/; https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/surveymonkey/site/system-messages/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.14285714285714285
how do I view survey completion rates,https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-benchmarks/,False,,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/send/suspended-mailing-privileges/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/analyze/creating-views/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/programs/feedback-when-leaving-site/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create a multi-language survey,https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/,True,3.0,https://help.surveymonkey.com/en/getfeedback/builder/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/account/account-language/; https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/email-multilingual-surveys/; https://help.surveymonkey.com/en/wufoo/build/form-language/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how do I customize the survey theme,https://help.surveymonkey.com/en/surveymonkey/create/themes/,True,2.0,https://help.surveymonkey.com/en/wufoo/themes/theme-designer/; https://help.surveymonkey.com/en/surveymonkey/create/themes/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/getfeedback/builder/email-theme/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/wufoo/themes/form-fonts/,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
send reminder to people who didn’t complete survey,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/,True,2.0,https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/send/troubleshooting-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/email-invitation-collector/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/; https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-statuses/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-guidelines/,0.0,0.0,0.6666666666666666,2.0,0.4,2.0,0.2,2.0,0.5
