Query,Expected Article (URL),Match Found,Rank (if found),Top Results (URLs),Top Result Titles,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10,MRR
how do I set a deadline for my survey,https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/,True,2.0,https://help.surveymonkey.com/en/apply/build/applicant-task-deadline/; https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/; https://help.surveymonkey.com/en/getfeedback/builder/turning-surveys-on-off/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/apply/build/stage-deadline/; https://help.surveymonkey.com/en/surveymonkey/solutions/audience-additional-settings/; https://help.surveymonkey.com/en/getfeedback/builder/your-survey-link/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/date-time-question/; https://help.surveymonkey.com/en/apply/build/time-based-automation/,How to Set a Deadline on an Applicant Task; Setting a Cutoff Date & Time; Turning a Survey On or Off; Can I time surveys?; How to Set a Deadline on a Stage; SurveyMonkey Audience: Additional Targeting Settings; Your Survey Link; Can a survey be saved and finished later?; Date/Time Question; How to Set Up Time-based Automations,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
how do I resend a survey to the same people,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/manage/sending-survey-copies/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/confirmation-email/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/troubleshooting-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/email-invitation-collector/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/,Sending Reminder and Thank You Emails | SurveyMonkey Help; Sending Reminder and Thank You Emails | SurveyMonkey Help; Sending a Copy of a Survey to Another Account; Survey Takers Canât Complete My Survey; Sending Confirmation Emails; Copying a Survey | SurveyMonkey Help; Troubleshooting Issues with an Email Invitation; Sending Surveys via Email Invitation; Allowing Multiple Responses; Email to a List,1.0,1.0,0.6666666666666666,2.0,0.4,2.0,0.2,2.0,1.0
stop collecting responses after 100 people,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/solutions/calculating-respondents/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/; https://help.surveymonkey.com/en/surveymonkey/create/answering-multiple-times/; https://help.surveymonkey.com/en/surveymonkey/billing/response-limits/,Limiting Responses to a Survey; Allowing Multiple Responses; Clearing or Deleting Responses; Survey Takers Canât Complete My Survey; Viewing Individual Responses; Calculating the Number of Respondents You Need; Response Rate; Ways to Send Your Survey; Can a respondent fill out the same question or page multiple times?; Account Response Limits,1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
can I edit my survey after publishing,https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/editing-questions/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-deletion/,"Editing a Live Survey | SurveyMonkey Help; Can a survey be saved and finished later?; Editing Survey Responses; Why are answers already selected when I try to take a survey?; Changing the Survey Title; Preview and Draft Mode; Managing Your Surveys; Adding and Editing Questions; Previewing, Testing, and Reviewing Surveys; Deleting a Survey",1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
what happens when I upgrade my plan,https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/,True,3.0,https://help.surveymonkey.com/en/getfeedback/account/changing-your-plan/; https://help.surveymonkey.com/en/wufoo/account/your-new-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/; https://help.surveymonkey.com/en/surveymonkey/billing/surveymonkey-plans/; https://help.surveymonkey.com/en/surveymonkey/billing/automatic-renewals/; https://help.surveymonkey.com/en/wufoo/account/upgrade-your-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/auto-renew/; https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/; https://help.surveymonkey.com/en/surveymonkey/billing/discounts/; https://help.surveymonkey.com/en/surveymonkey/account/trying-paid-features/,Changing your Plan; Your New Wufoo Plan; How to Sign Up or Upgrade; SurveyMonkey Plans; Why was I charged again?; How to Sign Up or Upgrade; Auto-Renew; Monthly Payment Option; Discounts; Trying Paid Features,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
what’s the difference between skip logic and branching,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,6.0,https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/advanced-branching/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/apply/build/branching-logic/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/getfeedback/builder/merge-fields-logic/,Skip Logic; Question Skip Logic; Advanced Branching; Troubleshooting Skip Logic Issues; Page Skip Logic; Logic Features; How to use Advanced Branching Logic to Dynamically Change your Form; Respondents Skipped Required Questions; Disqualifying Respondents; Using Merge Fields in Survey Logic,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.16666666666666666
how do I view survey completion rates,https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-benchmarks/,False,,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/solutions/response-rate/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-statuses/; https://help.surveymonkey.com/en/surveymonkey/analyze/missing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/crosstabs/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/create/quizzes/; https://help.surveymonkey.com/en/surveymonkey/analyze/individual-responses/; https://help.surveymonkey.com/en/surveymonkey/analyze/sharing-survey-results/,Scoring Your Survey; Response Rate; Viewing Your Survey Summary; Survey Response Statuses; Missing Survey Responses; Crosstab Reports; Survey Takers Canât Complete My Survey; Quizzes; Viewing Individual Responses; Sharing Survey Results,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create a multi-language survey,https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/,True,2.0,https://help.surveymonkey.com/en/getfeedback/builder/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/email-multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/account/account-language/; https://help.surveymonkey.com/en/surveymonkey/send/language-code/; https://help.surveymonkey.com/en/getfeedback/builder/survey-languages/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/apply/build/form-translations/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/multiple-choice/,Multilingual Surveys; Multilingual Surveys; Sending Multilingual Surveys by Email Invitation; Changing the Language on Your Account; Language Codes; Survey Languages; Allowing Multiple Responses; How to Add Translations to a Form; Can a survey be saved and finished later?; Multiple Choice Question,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
how do I customize the survey theme,https://help.surveymonkey.com/en/surveymonkey/create/themes/,True,2.0,https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/create/themes/; https://help.surveymonkey.com/en/getfeedback/builder/email-theme/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/surveymonkey/create/formatting-text/; https://help.surveymonkey.com/en/surveymonkey/create/surveymonkey-footer/; https://help.surveymonkey.com/en/surveymonkey/send/thumbnail-image-text/,Use CSS to Style Your Survey; Using Themes to Style Surveys; Survey Theme: Email; Branding Your Survey; Survey Theme: Website; Changing the Survey Title; Adding a Custom Thank You; Formatting Text; Changing the SurveyMonkey Footer; Thumbnail Image & Text,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.5
send reminder to people who didn’t complete survey,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/confirmation-email/; https://help.surveymonkey.com/en/surveymonkey/send/troubleshooting-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/; https://help.surveymonkey.com/en/getfeedback/builder/turning-surveys-on-off/,Sending Reminder and Thank You Emails | SurveyMonkey Help; Sending Reminder and Thank You Emails | SurveyMonkey Help; Sending Reminder Emails from Salesforce; SurveyMonkey for Salesforce: Sending Reminder Emails; Survey Takers Canât Complete My Survey; Sending Confirmation Emails; Troubleshooting Issues with an Email Invitation; Can a survey be saved and finished later?; Adding a Custom Thank You; Turning a Survey On or Off,1.0,1.0,0.6666666666666666,2.0,0.4,2.0,0.2,2.0,1.0
