Query,Expected Article (URL),Match Found,Rank (if found),Top Results (URLs),Top Result Titles,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10,MRR
how do I set a deadline for my survey,https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/,True,6.0,https://help.surveymonkey.com/en/apply/build/applicant-task-deadline/; https://help.surveymonkey.com/en/apply/build/stage-deadline/; https://help.surveymonkey.com/en/apply/build/time-based-automation/; https://help.surveymonkey.com/en/getfeedback/builder/turning-surveys-on-off/; https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-case-closed/; https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/create/survey-tips/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/,How to Set a Deadline on an Applicant Task; How to Set a Deadline on a Stage; How to Set Up Time-based Automations; Turning a Survey On or Off; Can I time surveys?; Setting a Cutoff Date & Time; SurveyMonkey for Salesforce: Creating a Case Closed Survey; Scoring Your Survey; 5 Tips for Writing a Great Survey; Survey Takers Can’t Complete My Survey,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.16666666666666666
how do I resend a survey to the same people,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/,False,,https://help.surveymonkey.com/en/surveymonkey/send/email-invitation-collector/; https://help.surveymonkey.com/en/getfeedback/account/sharing-surveys/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/manage/finding-surveys/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/symptom-tracking-survey/; https://help.surveymonkey.com/en/surveymonkey/create/survey-tooltips/; https://help.surveymonkey.com/en/apply/features/manage-admins/; https://help.surveymonkey.com/en/surveymonkey/manage/sharing-surveys/,Sending Surveys via Email Invitation; Sharing and Transferring Surveys; Ways to Send Your Survey; Survey Takers Can’t Complete My Survey; Finding a Survey; Copying a Survey | SurveyMonkey Help; Covid-19 Symptom Tracking Survey; Survey Tooltips; How to Add/Manage Administrators; Sharing Surveys with Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stop collecting responses after 100 people,https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/,True,7.0,https://help.surveymonkey.com/en/surveymonkey/send/can-i-time-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/collector-options/; https://help.surveymonkey.com/en/surveymonkey/manage/opening-closing-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/allowing-multiple-responses/; https://help.surveymonkey.com/en/surveymonkey/getting-started/sending-your-survey/; https://help.surveymonkey.com/en/surveymonkey/send/cuttoff-date-time/; https://help.surveymonkey.com/en/surveymonkey/send/limiting-answer-choices/; https://help.surveymonkey.com/en/getfeedback/builder/your-survey-link/; https://help.surveymonkey.com/en/surveymonkey/manage/deleting-responses/; https://help.surveymonkey.com/en/surveymonkey/solutions/calculating-respondents/,Can I time surveys?; Managing Survey Collector Options; Opening & Closing Surveys; Allowing Multiple Responses; Ways to Send Your Survey; Setting a Cutoff Date & Time; Limiting Responses to a Survey; Your Survey Link; Clearing or Deleting Responses; Calculating the Number of Respondents You Need,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.14285714285714285
can I edit my survey after publishing,https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/manage/editing-live-surveys/; https://help.surveymonkey.com/en/getfeedback/builder/preview-draft-mode/; https://help.surveymonkey.com/en/surveymonkey/manage/copying-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/editing-survey-responses/; https://help.surveymonkey.com/en/surveymonkey/send/answers-already-selected/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/survey-title/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/; https://help.surveymonkey.com/en/surveymonkey/create/previewing-testing/,"Editing a Live Survey | SurveyMonkey Help; Preview and Draft Mode; Copying a Survey | SurveyMonkey Help; Editing Survey Responses; Why are answers already selected when I try to take a survey?; Survey Takers Can’t Complete My Survey; Managing Your Surveys; Changing the Survey Title; Can a survey be saved and finished later?; Previewing, Testing, and Reviewing Surveys",1.0,1.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,1.0
what happens when I upgrade my plan,https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/,True,3.0,https://help.surveymonkey.com/en/getfeedback/account/changing-your-plan/; https://help.surveymonkey.com/en/wufoo/account/upgrade-your-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/upgrading/; https://help.surveymonkey.com/en/surveymonkey/billing/surveymonkey-plans/; https://help.surveymonkey.com/en/surveymonkey/billing/monthly-payment-option/; https://help.surveymonkey.com/en/surveymonkey/account/trying-paid-features/; https://help.surveymonkey.com/en/wufoo/account/wufoo-plans/; https://help.surveymonkey.com/en/wufoo/account/your-new-plan/; https://help.surveymonkey.com/en/surveymonkey/billing/discounts/; https://help.surveymonkey.com/en/surveymonkey/billing/automatic-renewals/,Changing your Plan; How to Sign Up or Upgrade; How to Sign Up or Upgrade; SurveyMonkey Plans; Monthly Payment Option; Trying Paid Features; Wufoo Plans; Your New Wufoo Plan; Discounts; Why was I charged again?,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
what’s the difference between skip logic and branching,https://help.surveymonkey.com/en/surveymonkey/create/logic-options/,True,6.0,https://help.surveymonkey.com/en/surveymonkey/create/skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/page-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/troubleshooting-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/question-skip-logic/; https://help.surveymonkey.com/en/surveymonkey/create/advanced-branching/; https://help.surveymonkey.com/en/surveymonkey/create/logic-options/; https://help.surveymonkey.com/en/apply/build/branching-logic/; https://help.surveymonkey.com/en/surveymonkey/analyze/respondents-skipping-questions/; https://help.surveymonkey.com/en/surveymonkey/create/disqualifying-respondents/; https://help.surveymonkey.com/en/surveymonkey/site/system-messages/,Skip Logic; Page Skip Logic; Troubleshooting Skip Logic Issues; Question Skip Logic; Advanced Branching; Logic Features; How to use Advanced Branching Logic to Dynamically Change your Form; Respondents Skipped Required Questions; Disqualifying Respondents; Survey Design System Messages,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.16666666666666666
how do I view survey completion rates,https://help.surveymonkey.com/en/surveymonkey/analyze/viewing-benchmarks/,False,,https://help.surveymonkey.com/en/surveymonkey/create/survey-score/; https://help.surveymonkey.com/en/surveymonkey/manage/survey-summary/; https://help.surveymonkey.com/en/getfeedback/programs/feedback-when-leaving-site/; https://help.surveymonkey.com/en/surveymonkey/send/printing-responses/; https://help.surveymonkey.com/en/surveymonkey/send/suspended-mailing-privileges/; https://help.surveymonkey.com/en/surveymonkey/site/surveymonkey-app-faq/; https://help.surveymonkey.com/en/surveymonkey/analyze/creating-views/; https://help.surveymonkey.com/en/surveymonkey/analyze/response-statuses/; https://help.surveymonkey.com/en/surveymonkey/manage/managing-surveys/; https://help.surveymonkey.com/en/getfeedback/channels/send-to-a-list/,Scoring Your Survey; Viewing Your Survey Summary; Get Feedback When Respondents Leave a Site; Can respondents print their responses?; Suspended Mailing Privileges; SurveyMonkey App FAQs; Creating Views; Survey Response Statuses; Managing Your Surveys; Email to a List,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
create a multi-language survey,https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/,True,3.0,https://help.surveymonkey.com/en/getfeedback/builder/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/account/account-language/; https://help.surveymonkey.com/en/surveymonkey/manage/multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/email-multilingual-surveys/; https://help.surveymonkey.com/en/surveymonkey/send/respondent-logins/; https://help.surveymonkey.com/en/wufoo/build/form-language/; https://help.surveymonkey.com/en/surveymonkey/create/inclusive-language/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/website-collector/; https://help.surveymonkey.com/en/surveymonkey/send/saving-surveys/,Multilingual Surveys; Changing the Language on Your Account; Multilingual Surveys; Sending Multilingual Surveys by Email Invitation; Can I create a unique login and password for each survey respondent?; Changing the Form Language; Using Inclusive Language; Survey Takers Can’t Complete My Survey; Embedding Your Survey or Form on a Website | SurveyMonkey Help; Can a survey be saved and finished later?,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
how do I customize the survey theme,https://help.surveymonkey.com/en/surveymonkey/create/themes/,True,3.0,https://help.surveymonkey.com/en/getfeedback/builder/email-theme/; https://help.surveymonkey.com/en/getfeedback/builder/web-theme/; https://help.surveymonkey.com/en/surveymonkey/create/themes/; https://help.surveymonkey.com/en/surveymonkey/teams/custom-css/; https://help.surveymonkey.com/en/surveymonkey/create/survey-branding/; https://help.surveymonkey.com/en/wufoo/themes/theme-designer/; https://help.surveymonkey.com/en/surveymonkey/create/adding-logos/; https://help.surveymonkey.com/en/getfeedback/builder/survey-builder/; https://help.surveymonkey.com/en/surveymonkey/send/composing-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/custom-thank-you/,Survey Theme: Email; Survey Theme: Website; Using Themes to Style Surveys; Use CSS to Style Your Survey; Branding Your Survey; Designing & Applying Themes; Adding or Editing a Logo to Your Survey Design; Survey Builder; Composing Email Invitations; Adding a Custom Thank You,0.0,0.0,0.3333333333333333,1.0,0.2,1.0,0.1,1.0,0.3333333333333333
send reminder to people who didn’t complete survey,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/,True,1.0,https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/surveymonkey/send/reminder-thank-you-emails/; https://help.surveymonkey.com/en/getfeedback/salesforce/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/integrations/salesforce-reminder-emails/; https://help.surveymonkey.com/en/surveymonkey/send/email-invitation-collector/; https://help.surveymonkey.com/en/surveymonkey/send/survey-completion-issue/; https://help.surveymonkey.com/en/surveymonkey/send/troubleshooting-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/tracking-email-invitations/; https://help.surveymonkey.com/en/surveymonkey/send/confirmation-email/; https://help.surveymonkey.com/en/surveymonkey/send/recurring-surveys/,Sending Reminder and Thank You Emails | SurveyMonkey Help; Sending Reminder and Thank You Emails | SurveyMonkey Help; Sending Reminder Emails from Salesforce; SurveyMonkey for Salesforce: Sending Reminder Emails; Sending Surveys via Email Invitation; Survey Takers Can’t Complete My Survey; Troubleshooting Issues with an Email Invitation; Tracking Email Invitations; Sending Confirmation Emails; Recurring Web Link Surveys,1.0,1.0,0.6666666666666666,2.0,0.4,2.0,0.2,2.0,1.0
